AccidentYear,STATE,STATENAME,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERSONS,PERMVIT,PERNOTMVIT,COUNTY,COUNTYNAME,CITYNAME,DAY,MONTH,YEAR,DAY_WEEK,DAY_WEEKNAME,HOUR,HOURNAME,MINUTENAME,NHSNAME,ROUTE,ROUTENAME,TWAY_ID,TWAY_ID2,RUR_URB,RUR_URBNAME,FUNC_SYS,FUNC_SYSNAME,RD_OWNER,RD_OWNERNAME,MILEPT,MILEPTNAME,LATITUDENAME,LONGITUDNAME,SP_JURNAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,RELJCT1,RELJCT1NAME,RELJCT2,RELJCT2NAME,TYP_INT,TYP_INTNAME,WRK_ZONENAME,REL_ROAD,REL_ROADNAME,LGT_COND,LGT_CONDNAME,WEATHER,WEATHERNAME,SCH_BUS,NOT_HOUR,NOT_HOURNAME,NOT_MINNAME,ARR_HOUR,ARR_HOURNAME,ARR_MINNAME,HOSP_HR,HOSP_HRNAME,HOSP_MNNAME,FATALS,DRUNK_DR
2016,4,Arizona,40001,1,1,0,0,5,5,0,21,PINAL (21),NOT APPLICABLE,2,1,2016,7,Saturday,13,1:00pm-1:59pm,54,This section IS NOT on the NHS,8,Other,ARROW WEED RD,,1,Rural,7,Local,62,Bureau of Indian Affairs,0,None,33.05111667,-111.64591389,Indian Reservation,1,Rollover/Overturn,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,None,4,On Roadside,1,Daylight,1,Clear,0,99,Unknown,,99,Unknown EMS Scene Arrival Hour,,99,Unknown,Unknown EMS Hospital Arrival Time,1,1
2016,4,Arizona,40002,1,1,0,1,1,1,1,13,MARICOPA (13),AVONDALE,2,1,2016,7,Saturday,21,9:00pm-9:59pm,26,This section IS NOT on the NHS,6,Local Street - Municipality,CENTRAL AVE,,2,Urban,7,Local,98,Not Reported,0,None,33.44373056,-112.34964722,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,None,1,On Roadway,3,Dark - Lighted,1,Clear,0,21,9:00pm-9:59pm,25,21,9:00pm-9:59pm,30,88,Not Applicable (Not Transported),Not Applicable (Not Transported),1,0
2016,4,Arizona,40003,1,1,0,0,6,6,0,13,MARICOPA (13),BUCKEYE,3,1,2016,1,Sunday,6,6:00am-6:59am,56,This section IS ON the NHS,1,Interstate,I-10,,1,Rural,1,Interstate,1,State Highway Agency,1082,1082,33.44480833,-112.70283611,No Special Jurisdiction,1,Rollover/Overturn,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,None,4,On Roadside,4,Dawn,1,Clear,0,6,6:00am-6:59am,56,7,7:00am-7:59am,6,7,7:00am-7:59am,48,1,0
2016,4,Arizona,40004,2,2,0,0,5,5,0,19,PIMA (19),TUCSON,7,1,2016,5,Thursday,22,10:00pm-10:59pm,22,This section IS ON the NHS,3,State Highway,SR-210 BARRAZA AVIATION PKWY,22ND ST RAMP,2,Urban,2,Principal Arterial - Other Freeways and Expressways,1,State Highway Agency,17,17,32.20631111,-110.94048611,No Special Jurisdiction,12,Motor Vehicle In-Transport,6,Angle,1,Yes,2,Intersection,3,T-Intersection,None,1,On Roadway,3,Dark - Lighted,2,Rain,0,22,10:00pm-10:59pm,23,22,10:00pm-10:59pm,27,99,Unknown,Unknown EMS Hospital Arrival Time,1,0
2016,4,Arizona,40005,2,2,0,0,2,2,0,13,MARICOPA (13),SURPRISE,10,1,2016,1,Sunday,1,1:00am-1:59am,1,This section IS ON the NHS,3,State Highway,SR-303,,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,128,128,33.63611944,-112.4182,No Special Jurisdiction,12,Motor Vehicle In-Transport,2,Front-to-Front,1,Yes,18,Through Roadway,1,Not an Intersection,None,1,On Roadway,3,Dark - Lighted,1,Clear,0,1,1:00am-1:59am,3,1,1:00am-1:59am,14,88,Not Applicable (Not Transported),Not Applicable (Not Transported),2,1
2016,4,Arizona,40006,1,1,0,1,2,2,1,13,MARICOPA (13),PHOENIX,9,1,2016,7,Saturday,18,6:00pm-6:59pm,34,This section IS NOT on the NHS,6,Local Street - Municipality,19TH AVE,,2,Urban,3,Principal Arterial - Other,4,City or Municipal Highway Agency,0,None,33.63832222,-112.09962778,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,None,1,On Roadway,3,Dark - Lighted,10,Cloudy,0,18,6:00pm-6:59pm,35,18,6:00pm-6:59pm,39,88,Not Applicable (Not Transported),Not Applicable (Not Transported),1,0
2016,4,Arizona,40007,1,1,0,0,3,3,0,27,YUMA (27),YUMA,10,1,2016,1,Sunday,1,1:00am-1:59am,32,This section IS NOT on the NHS,6,Local Street - Municipality,8TH ST GISS PKWY,CASTLE DOME AVE,2,Urban,4,Minor Arterial,4,City or Municipal Highway Agency,0,None,32.71319722,-114.606475,No Special Jurisdiction,33,Curb,0,Not a Collision with Motor Vehicle In-Transport,0,No,3,Intersection-Related,3,T-Intersection,None,4,On Roadside,3,Dark - Lighted,1,Clear,0,1,1:00am-1:59am,32,1,1:00am-1:59am,39,2,2:00am-2:59am,0,2,1
2016,4,Arizona,40009,1,1,0,0,5,5,0,13,MARICOPA (13),PHOENIX,13,1,2016,4,Wednesday,21,9:00pm-9:59pm,22,This section IS ON the NHS,1,Interstate,I-10 HOV RAMP,,2,Urban,1,Interstate,1,State Highway Agency,1360,1360,33.46257778,-112.22957222,No Special Jurisdiction,23,Bridge Rail (Includes parapet),0,Not a Collision with Motor Vehicle In-Transport,1,Yes,19,Other location within Interchange Area,1,Not an Intersection,None,4,On Roadside,3,Dark - Lighted,1,Clear,0,21,9:00pm-9:59pm,24,21,9:00pm-9:59pm,27,88,Not Applicable (Not Transported),Not Applicable (Not Transported),5,1
2016,4,Arizona,40010,1,1,0,1,1,1,1,13,MARICOPA (13),MESA,14,1,2016,5,Thursday,20,8:00pm-8:59pm,44,This section IS NOT on the NHS,6,Local Street - Municipality,SANTA BARBARA ST,,2,Urban,7,Local,98,Not Reported,0,None,33.42908889,-111.87673056,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,None,1,On Roadway,3,Dark - Lighted,1,Clear,0,20,8:00pm-8:59pm,44,20,8:00pm-8:59pm,45,20,8:00pm-8:59pm,50,1,0
2016,4,Arizona,40011,1,1,0,0,1,1,0,13,MARICOPA (13),PHOENIX,15,1,2016,6,Friday,2,2:00am-2:59am,23,This section IS ON the NHS,3,State Highway,SR-101,,2,Urban,2,Principal Arterial - Other Freeways and Expressways,1,State Highway Agency,226,226,33.66899167,-112.10344167,No Special Jurisdiction,1,Rollover/Overturn,0,Not a Collision with Motor Vehicle In-Transport,1,Yes,19,Other location within Interchange Area,1,Not an Intersection,None,4,On Roadside,3,Dark - Lighted,1,Clear,0,1,1:00am-1:59am,57,2,2:00am-2:59am,3,2,2:00am-2:59am,25,1,1
