Year,STATE,STATENAME,ST_CASE,VEH_NO,DRDISTRACT,DRDISTRACTNAME
2016,4,Arizona,40001,1,99,Unknown if Distracted
2016,4,Arizona,40002,1,99,Unknown if Distracted
2016,4,Arizona,40003,1,0,Not Distracted
2016,4,Arizona,40004,1,99,Unknown if Distracted
2016,4,Arizona,40004,2,99,Unknown if Distracted
2016,4,Arizona,40005,1,99,Unknown if Distracted
2016,4,Arizona,40005,2,99,Unknown if Distracted
2016,4,Arizona,40006,1,1,Looked But Did Not See
2016,4,Arizona,40007,1,99,Unknown if Distracted
2016,4,Arizona,40009,1,99,Unknown if Distracted
2016,4,Arizona,40010,1,0,Not Distracted
2016,4,Arizona,40011,1,99,Unknown if Distracted
2016,4,Arizona,40012,1,99,Unknown if Distracted
2016,4,Arizona,40013,1,0,Not Distracted
2016,4,Arizona,40013,2,0,Not Distracted
2016,4,Arizona,40014,1,0,Not Distracted
2016,4,Arizona,40015,1,3,By Other Occupant(s)
2016,4,Arizona,40015,2,0,Not Distracted
2016,4,Arizona,40016,1,99,Unknown if Distracted
2016,4,Arizona,40017,1,0,Not Distracted
2016,4,Arizona,40017,2,0,Not Distracted
2016,4,Arizona,40017,3,0,Not Distracted
2016,4,Arizona,40018,1,1,Looked But Did Not See
2016,4,Arizona,40019,1,99,Unknown if Distracted
2016,4,Arizona,40020,1,0,Not Distracted
2016,4,Arizona,40021,1,99,Unknown if Distracted
2016,4,Arizona,40022,1,1,Looked But Did Not See
2016,4,Arizona,40022,2,0,Not Distracted
2016,4,Arizona,40023,1,0,Not Distracted
2016,4,Arizona,40024,1,99,Unknown if Distracted
2016,4,Arizona,40025,1,99,Unknown if Distracted
2016,4,Arizona,40026,1,99,Unknown if Distracted
2016,4,Arizona,40027,1,0,Not Distracted
2016,4,Arizona,40028,1,0,Not Distracted
2016,4,Arizona,40028,2,0,Not Distracted
2016,4,Arizona,40029,1,0,Not Distracted
2016,4,Arizona,40030,1,0,Not Distracted
2016,4,Arizona,40031,1,99,Unknown if Distracted
2016,4,Arizona,40031,2,99,Unknown if Distracted
2016,4,Arizona,40032,1,0,Not Distracted
2016,4,Arizona,40032,2,0,Not Distracted
2016,4,Arizona,40033,1,0,Not Distracted
2016,4,Arizona,40033,2,99,Unknown if Distracted
2016,4,Arizona,40034,1,0,Not Distracted
2016,4,Arizona,40035,1,0,Not Distracted
2016,4,Arizona,40036,1,1,Looked But Did Not See
2016,4,Arizona,40036,2,0,Not Distracted
2016,4,Arizona,40037,1,13,Eating or Drinking
2016,4,Arizona,40037,2,0,Not Distracted
2016,4,Arizona,40038,1,99,Unknown if Distracted
2016,4,Arizona,40038,2,0,Not Distracted
2016,4,Arizona,40039,1,6,While Manipulating Cellular Phone
2016,4,Arizona,40039,2,0,Not Distracted
2016,4,Arizona,40040,1,96,Not Reported
2016,4,Arizona,40040,2,96,Not Reported
2016,4,Arizona,40040,3,96,Not Reported
2016,4,Arizona,40040,4,96,Not Reported
2016,4,Arizona,40041,1,99,Unknown if Distracted
2016,4,Arizona,40041,2,99,Unknown if Distracted
2016,4,Arizona,40042,1,99,Unknown if Distracted
2016,4,Arizona,40043,1,99,Unknown if Distracted
2016,4,Arizona,40044,1,1,Looked But Did Not See
2016,4,Arizona,40044,2,0,Not Distracted
2016,4,Arizona,40045,1,0,Not Distracted
2016,4,Arizona,40046,1,3,By Other Occupant(s)
2016,4,Arizona,40046,2,0,Not Distracted
2016,4,Arizona,40047,1,99,Unknown if Distracted
2016,4,Arizona,40048,1,0,Not Distracted
2016,4,Arizona,40049,1,0,Not Distracted
2016,4,Arizona,40050,1,99,Unknown if Distracted
2016,4,Arizona,40051,1,0,Not Distracted
2016,4,Arizona,40051,2,0,Not Distracted
2016,4,Arizona,40052,1,99,Unknown if Distracted
2016,4,Arizona,40053,1,0,Not Distracted
2016,4,Arizona,40053,2,0,Not Distracted
2016,4,Arizona,40054,1,1,Looked But Did Not See
2016,4,Arizona,40055,1,0,Not Distracted
2016,4,Arizona,40055,2,99,Unknown if Distracted
2016,4,Arizona,40056,1,0,Not Distracted
2016,4,Arizona,40057,1,99,Unknown if Distracted
2016,4,Arizona,40058,1,99,Unknown if Distracted
2016,4,Arizona,40059,1,99,Unknown if Distracted
2016,4,Arizona,40059,2,0,Not Distracted
2016,4,Arizona,40059,3,0,Not Distracted
2016,4,Arizona,40060,1,99,Unknown if Distracted
2016,4,Arizona,40061,1,99,Unknown if Distracted
2016,4,Arizona,40062,1,1,Looked But Did Not See
2016,4,Arizona,40063,1,99,Unknown if Distracted
2016,4,Arizona,40063,2,0,Not Distracted
2016,4,Arizona,40064,1,0,Not Distracted
2016,4,Arizona,40065,1,0,Not Distracted
2016,4,Arizona,40065,2,0,Not Distracted
2016,4,Arizona,40066,1,99,Unknown if Distracted
2016,4,Arizona,40067,1,99,Unknown if Distracted
2016,4,Arizona,40068,1,0,Not Distracted
2016,4,Arizona,40069,1,0,Not Distracted
2016,4,Arizona,40070,1,99,Unknown if Distracted
2016,4,Arizona,40071,1,0,Not Distracted
2016,4,Arizona,40072,1,99,Unknown if Distracted
2016,4,Arizona,40072,2,99,Unknown if Distracted
2016,4,Arizona,40073,1,0,Not Distracted
2016,4,Arizona,40074,1,0,Not Distracted
2016,4,Arizona,40075,1,3,By Other Occupant(s)
2016,4,Arizona,40075,2,0,Not Distracted
2016,4,Arizona,40076,1,0,Not Distracted
2016,4,Arizona,40077,1,99,Unknown if Distracted
2016,4,Arizona,40078,1,99,Unknown if Distracted
2016,4,Arizona,40078,2,99,Unknown if Distracted
2016,4,Arizona,40079,1,0,Not Distracted
2016,4,Arizona,40080,1,0,Not Distracted
2016,4,Arizona,40080,2,0,Not Distracted
2016,4,Arizona,40081,1,0,Not Distracted
2016,4,Arizona,40082,1,0,Not Distracted
2016,4,Arizona,40083,1,0,Not Distracted
2016,4,Arizona,40083,2,0,Not Distracted
2016,4,Arizona,40084,1,0,Not Distracted
2016,4,Arizona,40085,1,0,Not Distracted
2016,4,Arizona,40085,2,0,Not Distracted
2016,4,Arizona,40086,1,0,Not Distracted
2016,4,Arizona,40088,1,0,Not Distracted
2016,4,Arizona,40088,2,0,Not Distracted
2016,4,Arizona,40088,3,0,Not Distracted
2016,4,Arizona,40089,1,99,Unknown if Distracted
2016,4,Arizona,40089,2,0,Not Distracted
2016,4,Arizona,40090,1,96,Not Reported
2016,4,Arizona,40091,1,99,Unknown if Distracted
2016,4,Arizona,40091,2,99,Unknown if Distracted
2016,4,Arizona,40092,1,6,While Manipulating Cellular Phone
2016,4,Arizona,40093,1,99,Unknown if Distracted
2016,4,Arizona,40093,2,99,Unknown if Distracted
2016,4,Arizona,40094,1,0,Not Distracted
2016,4,Arizona,40094,2,0,Not Distracted
2016,4,Arizona,40094,3,0,Not Distracted
2016,4,Arizona,40095,1,99,Unknown if Distracted
2016,4,Arizona,40095,2,0,Not Distracted
2016,4,Arizona,40096,1,99,Unknown if Distracted
2016,4,Arizona,40097,1,99,Unknown if Distracted
2016,4,Arizona,40098,1,0,Not Distracted
2016,4,Arizona,40098,2,0,Not Distracted
2016,4,Arizona,40099,1,0,Not Distracted
2016,4,Arizona,40100,1,99,Unknown if Distracted
2016,4,Arizona,40100,2,99,Unknown if Distracted
2016,4,Arizona,40101,1,99,Unknown if Distracted
2016,4,Arizona,40101,2,99,Unknown if Distracted
2016,4,Arizona,40102,1,99,Unknown if Distracted
2016,4,Arizona,40103,1,99,Unknown if Distracted
2016,4,Arizona,40104,1,99,Unknown if Distracted
2016,4,Arizona,40105,1,99,Unknown if Distracted
2016,4,Arizona,40105,2,0,Not Distracted
2016,4,Arizona,40106,1,99,Unknown if Distracted
2016,4,Arizona,40107,1,0,Not Distracted
2016,4,Arizona,40107,2,0,Not Distracted
2016,4,Arizona,40108,1,0,Not Distracted
2016,4,Arizona,40109,1,99,Unknown if Distracted
2016,4,Arizona,40109,2,0,Not Distracted
2016,4,Arizona,40110,1,0,Not Distracted
2016,4,Arizona,40111,1,99,Unknown if Distracted
2016,4,Arizona,40111,2,99,Unknown if Distracted
2016,4,Arizona,40112,1,0,Not Distracted
2016,4,Arizona,40112,2,0,Not Distracted
