Year,STATE,STATENAME,ST_CASE,VEH_NO,PER_NO,PBPTYPE,PBPTYPENAME,PBAGE,PBAGENAME,PBSEX,PBSEXNAME,PBCWALK,PBCWALKNAME,PBSWALK,PBSWALKNAME,PBSZONE,PBSZONENAME,PEDCTYPE,PEDCTYPENAME,BIKECTYPE,BIKECTYPENAME,PEDLOC,PEDLOCNAME,BIKELOC,BIKELOCNAME,PEDPOS,PEDPOSNAME,BIKEPOS,BIKEPOSNAME,PEDDIR,PEDDIRNAME,BIKEDIR,BIKEDIRNAME,MOTDIR,MOTDIRNAME,MOTMAN,MOTMANNAME,PEDLEG,PEDLEGNAME,PEDSNR,PEDSNRNAME,PEDCGP,PEDCGPNAME,BIKECGP,BIKECGPNAME
2016,4,Arizona,40002,0,1,5,Pedestrian,32,32 Years,1,Male,0,None Noted,1,Yes,0,None Noted,760,Pedestrian Failed to Yield,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,750,Crossing Roadway - Vehicle Not Turning,0,Not a Cyclist
2016,4,Arizona,40006,0,1,5,Pedestrian,54,54 Years,1,Male,0,None Noted,1,Yes,0,None Noted,160,Pedestrian Loss of Control,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,100,Unusual Circumstances,0,Not a Cyclist
2016,4,Arizona,40010,0,1,5,Pedestrian,9,9 Years,1,Male,0,None Noted,1,Yes,0,None Noted,760,Pedestrian Failed to Yield,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,750,Crossing Roadway - Vehicle Not Turning,0,Not a Cyclist
2016,4,Arizona,40014,0,1,5,Pedestrian,45,45 Years,1,Male,0,None Noted,1,Yes,0,None Noted,760,Pedestrian Failed to Yield,0,Not a Cyclist,1,At Intersection,7,Not a Cyclist,9,Other/Unknown,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,4,Westbound,3,Straight through,9,Unknown/None of the Above,8,Not Applicable,750,Crossing Roadway - Vehicle Not Turning,0,Not a Cyclist
2016,4,Arizona,40018,0,1,6,Bicyclist,70,70 Years,2,Female,0,None Noted,0,None Noted,0,None Noted,0,Not a Pedestrian,141,Motorist Drive Out - Sign-Controlled Intersection,7,Not a Pedestrian,2,Intersection-Related,77,Not a Pedestrian,2,Bicycle Lane / Paved Shoulder / Parking Lane,7,Not a Pedestrian,1,With Traffic,7,Not a Pedestrian,7,Not a Pedestrian,7,Not a Pedestrian,7,Not a Pedestrian,0,Not a Pedestrian,140,Motorist Failed to Yield - Sign-Controlled Intersection
2016,4,Arizona,40023,0,1,6,Bicyclist,81,81 Years,1,Male,0,None Noted,1,Yes,0,None Noted,0,Not a Pedestrian,221,Bicyclist Left Turn - Same Direction,7,Not a Pedestrian,3,Not At Intersection,77,Not a Pedestrian,1,Travel Lane,7,Not a Pedestrian,1,With Traffic,7,Not a Pedestrian,7,Not a Pedestrian,7,Not a Pedestrian,7,Not a Pedestrian,0,Not a Pedestrian,220,Bicyclist Left Turn / Merge
2016,4,Arizona,40026,0,1,5,Pedestrian,73,73 Years,1,Male,0,None Noted,1,Yes,0,None Noted,410,Walking/Running Along Roadway With Traffic - From Behind,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,5,Sidewalk / Shared-Use Path / Driveway Access,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,400,Walking/Running Along Roadway,0,Not a Cyclist
2016,4,Arizona,40035,0,1,6,Bicyclist,50,50 Years,1,Male,1,Yes,1,Yes,0,None Noted,0,Not a Pedestrian,155,Bicyclist Ride Through - Signalized Intersection,7,Not a Pedestrian,1,At Intersection,77,Not a Pedestrian,1,Travel Lane,7,Not a Pedestrian,1,With Traffic,7,Not a Pedestrian,7,Not a Pedestrian,7,Not a Pedestrian,7,Not a Pedestrian,0,Not a Pedestrian,158,Bicyclist Failed to Yield - Signalized Intersection
2016,4,Arizona,40036,0,1,5,Pedestrian,53,53 Years,1,Male,0,None Noted,1,Yes,0,None Noted,741,Dash,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,740,Dash / Dart-Out,0,Not a Cyclist
2016,4,Arizona,40045,0,1,5,Pedestrian,75,75 Years,1,Male,0,None Noted,0,None Noted,0,None Noted,760,Pedestrian Failed to Yield,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,750,Crossing Roadway - Vehicle Not Turning,0,Not a Cyclist
